seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
1,56,0.004,0.0037,7dig,0.0,0.0,39.8,44.5
1,61,0.0031,0.0028,id,100.0,100.0,100.0,100.0
1,61,0.0031,0.0028,5dig,83.4,87.3,97.0,97.7
1,61,0.0031,0.0028,6dig,1.1,3.7,60.8,68.5
1,61,0.0031,0.0028,7dig,0.0,0.0,38.5,43.9
1,66,0.0028,0.0025,id,100.0,100.0,100.0,100.0
1,66,0.0028,0.0025,5dig,95.2,89.9,99.1,98.2
1,66,0.0028,0.0025,6dig,14.3,0.5,75.2,57.8
1,66,0.0028,0.0025,7dig,0.0,0.0,42.3,43.1
1,71,0.0028,0.0021,id,100.0,100.0,100.0,100.0
1,71,0.0028,0.0021,5dig,72.0,88.4,94.9,97.9
1,71,0.0028,0.0021,6dig,0.7,1.1,59.4,61.8
1,71,0.0028,0.0021,7dig,0.0,0.0,36.5,42.5
1,76,0.0033,0.0023,id,100.0,100.0,100.0,100.0
1,76,0.0033,0.0023,5dig,87.5,84.6,97.8,97.2
1,76,0.0033,0.0023,6dig,3.4,0.3,68.1,57.0
1,76,0.0033,0.0023,7dig,0.0,0.0,39.0,42.8
1,81,0.002,0.0016,id,100.0,100.0,100.0,100.0
1,81,0.002,0.0016,5dig,84.2,79.4,97.1,96.1
1,81,0.002,0.0016,6dig,0.8,0.0,59.2,52.4
1,81,0.002,0.0016,7dig,0.0,0.0,39.7,42.4
1,86,0.0027,0.0018,id,100.0,100.0,100.0,100.0
1,86,0.0027,0.0018,5dig,90.2,88.3,98.3,97.9
1,86,0.0027,0.0018,6dig,4.2,0.3,64.8,56.6
1,86,0.0027,0.0018,7dig,0.0,0.0,38.7,42.7
1,91,0.0016,0.0017,id,100.0,100.0,100.0,100.0
1,91,0.0016,0.0017,5dig,88.1,94.7,97.9,99.1
1,91,0.0016,0.0017,6dig,4.0,3.6,68.4,64.8
1,91,0.0016,0.0017,7dig,0.0,0.0,39.2,45.3
1,96,0.0017,0.0015,id,100.0,100.0,100.0,100.0
1,96,0.0017,0.0015,5dig,84.6,90.4,97.2,98.3
1,96,0.0017,0.0015,6dig,1.4,1.2,63.4,60.2
1,96,0.0017,0.0015,7dig,0.0,0.0,41.4,43.2
1,101,0.0016,0.0014,id,100.0,100.0,100.0,100.0
1,101,0.0016,0.0014,5dig,90.3,75.0,98.2,95.3
1,101,0.0016,0.0014,6dig,5.0,0.0,68.5,53.4
1,101,0.0016,0.0014,7dig,0.0,0.0,42.8,41.1
1,106,0.0083,0.0027,id,100.0,100.0,100.0,100.0
1,106,0.0083,0.0027,5dig,87.2,59.0,97.7,91.8
1,106,0.0083,0.0027,6dig,2.5,0.2,63.4,54.1
1,106,0.0083,0.0027,7dig,0.0,0.0,39.7,41.1
1,111,0.001,0.0014,id,100.0,100.0,100.0,100.0
1,111,0.001,0.0014,5dig,84.3,80.4,97.2,96.4
1,111,0.001,0.0014,6dig,2.1,0.3,63.8,59.8
1,111,0.001,0.0014,7dig,0.0,0.0,41.3,42.6
1,116,0.0013,0.0019,id,100.0,100.0,100.0,100.0
1,116,0.0013,0.0019,5dig,92.2,90.6,98.6,98.3
1,116,0.0013,0.0019,6dig,5.0,1.3,65.6,61.3
1,116,0.0013,0.0019,7dig,0.0,0.0,40.7,42.4
1,121,0.0014,0.001,id,100.0,100.0,100.0,100.0
1,121,0.0014,0.001,5dig,75.6,93.3,95.5,98.8
1,121,0.0014,0.001,6dig,0.9,1.3,61.1,61.3
1,121,0.0014,0.001,7dig,0.0,0.0,38.1,44.6
1,126,0.0013,0.0012,id,100.0,100.0,100.0,100.0
1,126,0.0013,0.0012,5dig,81.8,87.1,96.7,97.7
1,126,0.0013,0.0012,6dig,0.8,0.3,62.5,57.4
1,126,0.0013,0.0012,7dig,0.0,0.0,41.2,43.7
1,131,0.0011,0.0014,id,100.0,100.0,100.0,100.0
1,131,0.0011,0.0014,5dig,86.1,77.5,97.5,95.8
1,131,0.0011,0.0014,6dig,4.3,0.1,70.4,56.9
1,131,0.0011,0.0014,7dig,0.0,0.0,43.5,42.7
1,136,0.0009,0.001,id,100.0,100.0,100.0,100.0
1,136,0.0009,0.001,5dig,81.3,90.3,96.6,98.3
1,136,0.0009,0.001,6dig,0.3,1.9,58.1,65.7
1,136,0.0009,0.001,7dig,0.0,0.0,41.2,44.8
1,141,0.001,0.0009,id,100.0,100.0,100.0,100.0
1,141,0.001,0.0009,5dig,87.8,94.7,97.8,99.0
1,141,0.001,0.0009,6dig,1.4,4.7,61.4,69.4
1,141,0.001,0.0009,7dig,0.0,0.0,42.2,46.0
1,146,0.0005,0.0009,id,100.0,100.0,100.0,100.0
1,146,0.0005,0.0009,5dig,73.6,95.2,95.2,99.1
1,146,0.0005,0.0009,6dig,0.7,6.2,61.0,69.4
1,146,0.0005,0.0009,7dig,0.0,0.0,41.8,47.0
1,151,0.0008,0.0013,id,100.0,100.0,100.0,100.0
1,151,0.0008,0.0013,5dig,83.1,41.6,97.0,89.0
1,151,0.0008,0.0013,6dig,0.6,0.0,62.0,51.3
1,151,0.0008,0.0013,7dig,0.0,0.0,41.5,41.3
1,156,0.0011,0.001,id,100.0,100.0,100.0,100.0
1,156,0.0011,0.001,5dig,80.1,89.2,96.4,98.0
1,156,0.0011,0.001,6dig,1.7,0.8,64.6,60.5
1,156,0.0011,0.001,7dig,0.0,0.0,41.1,42.8
1,161,0.0012,0.0184,id,100.0,100.0,100.0,100.0
1,161,0.0012,0.0184,5dig,83.9,83.1,97.1,97.0
1,161,0.0012,0.0184,6dig,1.4,3.7,60.1,73.0
1,161,0.0012,0.0184,7dig,0.0,0.0,40.9,47.6
1,166,0.0008,0.0008,id,100.0,100.0,100.0,100.0
1,166,0.0008,0.0008,5dig,91.0,93.1,98.4,98.8
1,166,0.0008,0.0008,6dig,5.1,6.4,67.7,71.1
1,166,0.0008,0.0008,7dig,0.0,0.0,42.2,47.6
1,171,0.0007,0.0009,id,100.0,100.0,100.0,100.0
1,171,0.0007,0.0009,5dig,78.1,73.3,96.1,94.9
1,171,0.0007,0.0009,6dig,2.8,0.0,69.2,54.6
1,171,0.0007,0.0009,7dig,0.0,0.0,43.6,44.4
1,176,0.0006,0.0012,id,100.0,100.0,100.0,100.0
1,176,0.0006,0.0012,5dig,89.1,71.8,98.0,94.8
1,176,0.0006,0.0012,6dig,1.9,0.3,63.9,62.6
1,176,0.0006,0.0012,7dig,0.0,0.0,42.3,49.1
1,181,0.0006,0.0008,id,100.0,100.0,100.0,100.0
1,181,0.0006,0.0008,5dig,85.9,53.6,97.5,91.0
1,181,0.0006,0.0008,6dig,5.7,0.0,75.7,53.3
1,181,0.0006,0.0008,7dig,0.0,0.0,44.9,42.0
1,186,0.0008,0.0005,id,100.0,100.0,100.0,100.0
1,186,0.0008,0.0005,5dig,74.2,86.8,95.3,97.6
1,186,0.0008,0.0005,6dig,0.8,1.2,60.8,66.2
1,186,0.0008,0.0005,7dig,0.0,0.0,41.3,47.9
1,191,0.001,0.0005,id,100.0,100.0,100.0,100.0
1,191,0.001,0.0005,5dig,81.8,97.0,96.7,99.5
1,191,0.001,0.0005,6dig,1.1,6.5,60.4,73.5
1,191,0.001,0.0005,7dig,0.0,0.0,40.5,51.4
1,196,0.0005,0.001,id,100.0,100.0,100.0,100.0
1,196,0.0005,0.001,5dig,92.4,97.9,98.7,99.6
1,196,0.0005,0.001,6dig,6.3,14.2,71.5,78.0
1,196,0.0005,0.001,7dig,0.0,0.0,43.0,50.3
1,201,0.0005,0.001,id,100.0,100.0,100.0,100.0
1,201,0.0005,0.001,5dig,84.6,84.3,97.2,97.1
1,201,0.0005,0.001,6dig,0.6,0.3,59.6,56.8
1,201,0.0005,0.001,7dig,0.0,0.0,40.3,43.1
1,206,0.0005,0.0007,id,100.0,100.0,100.0,100.0
1,206,0.0005,0.0007,5dig,88.8,96.5,98.0,99.4
1,206,0.0005,0.0007,6dig,1.6,7.5,61.8,74.1
1,206,0.0005,0.0007,7dig,0.0,0.0,41.6,48.8
1,211,0.0005,0.0005,id,100.0,100.0,100.0,100.0
1,211,0.0005,0.0005,5dig,72.6,82.4,95.1,96.7
1,211,0.0005,0.0005,6dig,0.3,0.1,58.7,56.4
1,211,0.0005,0.0005,7dig,0.0,0.0,41.2,43.9
1,216,0.0006,0.0004,id,100.0,100.0,100.0,100.0
