seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,196,0.0016,0.0006,5dig,95.6,80.7,99.2,96.5
0,196,0.0016,0.0006,6dig,10.2,0.4,76.8,55.8
0,201,0.0014,0.0005,id,100.0,100.0,100.0,100.0
0,201,0.0014,0.0005,5dig,84.4,63.6,97.2,93.0
0,201,0.0014,0.0005,6dig,4.4,0.0,75.0,50.2
0,206,0.0012,0.001,id,100.0,99.8,100.0,100.0
0,206,0.0012,0.001,5dig,87.5,43.0,97.8,87.7
0,206,0.0012,0.001,6dig,1.8,0.0,69.0,49.5
0,211,0.0012,0.0005,id,100.0,100.0,100.0,100.0
0,211,0.0012,0.0005,5dig,94.1,68.1,98.9,94.0
0,211,0.0012,0.0005,6dig,4.2,0.1,70.7,51.7
0,216,0.0019,0.0007,id,100.0,100.0,100.0,100.0
0,216,0.0019,0.0007,5dig,96.0,68.5,99.3,94.0
0,216,0.0019,0.0007,6dig,9.3,0.0,76.3,50.1
0,221,0.0036,0.0004,id,100.0,100.0,100.0,100.0
0,221,0.0036,0.0004,5dig,96.8,70.0,99.4,94.3
0,221,0.0036,0.0004,6dig,10.6,0.1,76.5,52.0
0,226,0.001,0.0193,id,100.0,100.0,100.0,100.0
0,226,0.001,0.0193,5dig,87.1,93.4,97.7,98.8
0,226,0.001,0.0193,6dig,3.8,5.3,69.4,74.4
0,231,0.0014,0.0005,id,100.0,100.0,100.0,100.0
0,231,0.0014,0.0005,5dig,89.7,91.0,98.2,98.4
0,231,0.0014,0.0005,6dig,9.0,1.0,79.3,60.1
0,236,0.0018,0.0004,id,100.0,100.0,100.0,100.0
0,236,0.0018,0.0004,5dig,88.6,75.3,98.0,95.3
0,236,0.0018,0.0004,6dig,8.7,0.2,79.2,52.3
0,241,0.001,0.0004,id,100.0,100.0,100.0,100.0
0,241,0.001,0.0004,5dig,98.6,72.8,99.8,94.8
0,241,0.001,0.0004,6dig,19.9,0.0,81.7,52.4
0,246,0.0016,0.0003,id,100.0,100.0,100.0,100.0
0,246,0.0016,0.0003,5dig,87.7,50.3,97.8,89.1
0,246,0.0016,0.0003,6dig,6.8,0.0,75.1,48.7
0,251,0.001,0.0006,id,100.0,100.0,100.0,100.0
0,251,0.001,0.0006,5dig,97.5,54.7,99.6,91.3
0,251,0.001,0.0006,6dig,23.2,0.0,84.3,48.5
0,256,0.001,0.0004,id,100.0,100.0,100.0,100.0
0,256,0.001,0.0004,5dig,97.3,64.6,99.5,93.4
0,256,0.001,0.0004,6dig,21.8,0.0,83.2,49.9
0,261,0.0011,0.0003,id,100.0,100.0,100.0,100.0
0,261,0.0011,0.0003,5dig,76.0,79.7,95.7,96.2
0,261,0.0011,0.0003,6dig,2.6,0.1,68.6,52.2
0,266,0.0016,0.0002,id,100.0,100.0,100.0,100.0
0,266,0.0016,0.0002,5dig,97.1,83.0,99.5,96.9
0,266,0.0016,0.0002,6dig,19.5,0.0,81.8,54.3
0,271,0.0008,0.0002,id,100.0,100.0,100.0,100.0
0,271,0.0008,0.0002,5dig,98.3,83.5,99.7,97.0
0,271,0.0008,0.0002,6dig,22.7,0.1,86.1,52.2
0,276,0.0009,0.0002,id,100.0,100.0,100.0,100.0
0,276,0.0009,0.0002,5dig,71.5,89.7,94.8,98.1
