param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
transformer.layers.4.linear1.weight,0.6054,0.0064,0.0025,0.8417
transformer.layers.4.linear1.bias,0.8886,0.7895,0.7565,0.4745
transformer.layers.4.linear2.weight,0.4934,0.0010,0.0015,0.9889
transformer.layers.4.linear2.bias,0.1737,-0.0273,-0.0239,1.8162
transformer.layers.4.norm1.weight,0.9906,0.9819,0.9852,0.3673
transformer.layers.4.norm1.bias,0.4057,0.0856,0.0321,1.4063
transformer.layers.4.norm2.weight,0.9927,0.9812,0.9819,0.4168
transformer.layers.4.norm2.bias,0.9788,0.0956,0.0870,0.4532
transformer.layers.5.self_attn.in_proj_weight,0.5799,-0.0014,0.0009,0.8595
transformer.layers.5.self_attn.in_proj_bias,0.7895,-0.0167,-0.0057,0.6960
transformer.layers.5.self_attn.out_proj.weight,0.4371,-0.0022,0.0041,1.2443
transformer.layers.5.self_attn.out_proj.bias,0.5302,-0.0905,0.0037,0.9433
transformer.layers.5.linear1.weight,0.4721,0.0004,-0.0034,1.0640
transformer.layers.5.linear1.bias,0.7965,0.5442,0.5138,0.6197
transformer.layers.5.linear2.weight,0.4243,0.0013,0.0009,1.0248
transformer.layers.5.linear2.bias,0.5170,-0.0303,-0.0186,0.8560
transformer.layers.5.norm1.weight,0.9957,0.9922,0.9916,0.3955
transformer.layers.5.norm1.bias,0.6244,-0.0536,-0.0186,0.7819
transformer.layers.5.norm2.weight,0.9837,0.9774,0.9749,0.2678
transformer.layers.5.norm2.bias,0.9530,0.0384,0.0579,0.4803
final_norm.weight,0.8034,0.8453,0.7295,1.5536
final_norm.bias,0.5300,-0.0654,-0.0395,0.8905
